地段位置或門牌,社區簡稱,交易日期,總價(萬元),"單價
(萬元/坪)","總面積
(坪)",主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,"車位總價
(萬元)",管理組織,電梯,主要用途,備註
中正區金山南路一段８２號四樓,達欣東門馥寓,114/08/31,2880,94.9,30.35,100.00%,公寓(5樓含以下無電梯),57,四層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,頂樓加蓋;
中正區延平南路８９號四樓之５,新美齊硯,114/08/30,2838,119.1,25.95,63.14%,住宅大樓(11層含以上有電梯),1,四層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,200,有,有,住家用,
中正區延平南路２２６號七樓之５,延平花園,114/08/28,1100,89.94,12.23,84.71%,華廈(10層含以下有電梯),51,七層/七層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,其他增建;
中正區仁愛路二段２０巷３之１號二樓,仁愛首杭,114/08/28,5500,109.95,50.02,48.67%,華廈(10層含以下有電梯),15,二層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,270,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區惠安街５號七樓之６,國盛國宅,114/08/25,1430,67.77,21.1,94.87%,華廈(10層含以下有電梯),45,七層/七層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,有,住家用,
中正區水源路１１３號六樓之１,雲荷,114/08/24,3060,79.95,44.4,59.70%,住宅大樓(11層含以上有電梯),18,六層/十五層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,250,有,有,住家用,車位位於地下5層陽台外推;其他增建;
中正區羅斯福路三段１３８號十四樓之１,冠德羅斯福,114/08/18,12445,121.23,102.66,53.15%,住宅大樓(11層含以上有電梯),4,十四層/二十二層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳3衛,,有,有,住家用,政府機關標讓售;
中正區丹陽街３３號三樓,璞園丹陽,114/08/12,6597,157.57,51.59,59.57%,住宅大樓(11層含以上有電梯),,三層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,300,有,有,住家用,
中正區廈門街１２３巷７９號二樓,,114/08/10,1960,68.89,28.45,82.88%,公寓(5樓含以下無電梯),39,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,陽台外推;其他增建;
中正區金山南路一段１０８號六樓,,114/08/10,3308,91.73,36.06,73.30%,住宅大樓(11層含以上有電梯),40,六層/十二層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,有,有,住家用,陽台外推;其他增建;
中正區南昌路二段８９號十四樓之３,將作城心,114/08/09,2450,140.18,27.37,54.26%,住宅大樓(11層含以上有電梯),7,十四層/十四層,房地(土地+建物)+車位,土:2 建:1車:1,2房1廳1衛,250,有,有,住家用,夾層;其他增建;
中正區金山南路一段１１０巷１５號五樓,,114/08/09,3500,96.53,38.83,75.60%,華廈(10層含以下有電梯),31,五層/六層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳2衛,200,無,有,住家用,陽台外推;其他增建;
中正區仁愛路二段７號六樓,,114/08/08,1250,61.98,20.17,91.41%,華廈(10層含以下有電梯),48,六層/七層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區臨沂街７１巷１９弄２０號五樓,,114/08/08,2000,74.46,26.86,81.63%,公寓(5樓含以下無電梯),42,五層/五層,房地(土地+建物),土:5 建:1車:0,3房2廳2衛,,無,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區信義路二段２６１號十一樓,新美齊PARK259,114/08/07,8500,161.6,57.67,48.96%,住宅大樓(11層含以上有電梯),7,十一層/十四層,房地(土地+建物)+車位,土:12 建:2車:2,2房2廳2衛,500,有,有,住家用,11樓房地交易價格:62000000元整，11樓之1房地交易價格:23000000元整。其他增建;
中正區金華街３２巷２弄１號五樓,臺大金潮,114/08/02,3070,89.98,34.12,65.59%,公寓(5樓含以下無電梯),41,五層/五層,房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,有,無,住家用,陽台外推;其他增建;
中正區金山南路一段５９號四樓,,114/08/02,12968,150.88,104.04,57.04%,住宅大樓(11層含以上有電梯),2,四層/十九層,房地(土地+建物)+車位,土:4 建:1車:2,3房2廳3衛,640,有,有,住家用,
中正區和平西路一段１２６號二樓之１,,114/07/31,1520,73.45,20.69,100.00%,公寓(5樓含以下無電梯),50,"二層,陽臺/四層",房地(土地+建物),土:2 建:1車:0,2房2廳1衛,,無,無,住家用,陽台外推;其他增建;
中正區開封街一段４８號十二樓之７,摩登站前,114/07/29,990,98.96,10,64.23%,住宅大樓(11層含以上有電梯),18,十二層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,夾層;其他增建;
中正區和平西路二段９６號七樓,荷里居,114/07/28,2950,69.71,42.32,50.09%,華廈(10層含以下有電梯),10,七層/十層,房地(土地+建物)+車位,土:1 建:1車:2,1房2廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
中正區漢口街一段１３２號七樓之７,板信大樓,114/07/26,1085,72.77,14.91,72.83%,華廈(10層含以下有電梯),39,七層/八層,房地(土地+建物),土:1 建:1車:0,1廳1衛,,有,有,住家用,陽台外推;其他增建;
中正區青島東路２１號二樓之６,台北市青島,114/07/25,2600,88.85,29.26,60.90%,華廈(10層含以下有電梯),39,二層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,有,住家用,有車位使用權(須繳租金)親友、員工、共有人或其他特殊關係間之交易;陽台外推;
中正區開封街一段４８號二樓之１,摩登站前,114/07/19,1100,92.13,11.94,57.87%,住宅大樓(11層含以上有電梯),18,二層/十四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,有,住家用,
中正區杭州南路一段１１５號三樓之３,豪洲大廈,114/07/19,4900,89.88,54.52,79.41%,華廈(10層含以下有電梯),48,三層/十層,房地(土地+建物),土:2 建:1車:0,5房2廳2衛,,有,有,住家用,其他增建;
中正區延平南路２１６巷３號六樓,延平花園,114/07/18,1100,57.78,19.04,87.35%,華廈(10層含以下有電梯),51,"六層,陽臺/七層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;陽台外推;
中正區惠安街３３號五樓,,114/07/18,1588,53.67,29.59,74.46%,公寓(5樓含以下無電梯),44,五層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,陽台外推;頂樓加蓋;其他增建;
中正區寧波東街２４巷１０號八樓之１,元大天匯,114/07/15,4310,119.97,35.92,60.45%,住宅大樓(11層含以上有電梯),40,八層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,其他增建;
